OTUs;Kingdom;Phylum;Class;Order;Family;Genus;A;B;C;D;E;F;G;H;I;J;K;L;M;N
98_1008;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;0;0;1;0;0;0;1;0;0;0;0;0;0;0
98_1008;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;2;0;0;0;1;0;0;0;0;0;1;0;1
98_10123;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;0;1;0;0;0;0;0;0;1;0;0;2;0;0
98_10123;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;0;0;0;1;0;0;0;1;0;0;0;0;0;0
98_10159;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum;4;4;15;14;3;12;4;7;3;0;3;6;3;2
98_103405;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;2;4;1;0;4;2;2;0;0;1;0;0;0;0
98_103405;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;5;8;3;5;4;3;2;2;1;3;0;0;1;0
98_10363;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium;0;0;0;0;0;0;0;0;1;0;0;2;0;1
98_10363;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;NA;2;1;1;1;1;0;0;0;2;1;0;1;0;1
98_1059;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;237;417;600;315;419;440;103;66;60;169;15;24;3;14
98_1060;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;18;22;450;168;226;161;237;188;292;346;380;126;153;155
98_106600;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;4;1;1;0;0;2;0;0;0;0;0;0;0;0
98_106742;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;2;0;1;3;0;1;0;0;1;1;0;0;0;0
98_106742;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;0;0;1;0;1;0;0;0;3;0;0;0;0;0
98_106742;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;3;3;0;2;0;5;0;0;0;0;0;1;0;1
98_10796;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;1;1;0;0;0;0
98_1088;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;2;27;1492;701;740;776;461;397;521;335;266;94;43;153
98_109;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alishewanella;3;4;1;5;9;7;0;0;0;10;1;0;0;1
98_109;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;NA;NA;0;0;0;0;1;5;0;0;0;0;0;0;0;0
98_109;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;2;2;0;0;2;1;0;1;0;3;1;1;0;0
98_110712;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;1;0;0;0;2;2;0;0;0;1;0;0;0;0
98_111373;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;3;2;0;0;5;0;0;0;0;0;0;0;0;0
98_11145;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Diutina;Diutina;0;0;0;1;0;0;0;1;3;0;0;0;0;0
98_112299;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;1;2;10;1;2;2;1;1;0;0;2;0;0;1
98_113231;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;0;5;1;0;0;2;0;0;0;1;0;0;0;0
98_113231;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;1;1;0;0;0;0;0;0;0;0;0;0;0;0
98_113300;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;1;6;0;0;2;2;0;0;0;3;1;0;0;1
98_11388;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;0;2;0;1;0;1;0;0;0;0;0;0;0;0
98_114117;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_114293;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;1;8;6;3;5;16;3;5;13;15;9;6;7;5
98_11431;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;18;85;96;81;24;67;5;21;5;27;1;8;0;8
98_11442;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Ascoideaceae;Ascoidea;0;0;0;0;0;0;0;0;3;0;0;0;0;0
98_115240;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;5;1;2;0;0;2;0;0;1;1;0;0;0;0
98_115917;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;0;0;2;0;0;0;0;0;0;0;0;0;0;0
98_115917;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;1;1;0;1;1;0;0;0;0;0;0;0;0;0
98_116158;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;1;1;0;0;1;0;0;0;0;0;0;0;0;0
98_11702;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;4;3;3;1;4;6;0;0;1;1;1;0;0;0
98_11778;Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus;1;1;1;0;0;0;2;2;5;0;0;0;0;0
98_11779;Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus;6;0;2;1;0;1;1;3;0;0;0;0;0;0
98_118972;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;1;0;3;1;3;0;6;14;12;17;22;23;22;17
98_1195;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;3;4;0;1;0;6;0;0;0;0;0;0;0;0
98_1195;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;3;0;0;0;1;0;0;0;0;0;0;0;0
98_120;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium;48;67;73;36;23;63;23;34;29;23;10;17;1;5
98_121;Eukaryota;Mucoromycota;Mucorales;Mucorales;Mucoraceae;Amylomyces;35;7;8;0;12;5;0;0;0;3;0;0;0;0
98_121;Eukaryota;Mucoromycota;Mucorales;Mucorales;Mucoraceae;NA;331;30;32;6;75;23;3;4;1;11;3;4;0;2
98_123;Eukaryota;NA;NA;NA;NA;NA;0;0;0;3;0;0;0;0;0;0;0;0;0;0
98_124169;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;8;2;13;3
